#SMILES	StructureSource	IdentifierType	IdentifierValue
[C@@H](NC(=O)OC(C)(C)C)(C(N1[C@H]([C@@H]2[C@H](C1)C2)C#N)=O)C(C)CC.[C@@H](NC(=O)OC(C)(C)C)(C(N1[C@@H]([C@H]2[C@@H](C1)C2)C#N)=O)C(C)CC	USRE044186-20130430-C00040.CDX	Step	2
C1(CCCC1)(C2=CC=CC=C2)C=O	USRE044186-20130430-C00155.CDX	Step	2
C(C(OCC)=O)(C(=O)OCC)C1CCCC1	USRE044186-20130430-C00198.CDX	Step	2
N1(C[C@@]2([C@](C1)(C2)[H])[H])C(C(NC(=O)OC(C)(C)C)[C@@H](C)CC)=O	USRE044186-20130430-C00033.CDX	Step	2
C1=CC(=CC=C1)COC2=CC=C(C=C2)C[C@@H](C(N3[C@@H](C[C@H]4[C@@H]3C4)C#N)=O)NC(=O)OC(C)(C)C	USRE044186-20130430-C00072.CDX	Step	2
[C@H](C(=O)O)(NC(=O)OC(C)(C)C)C12CC[C@@H](CC1)C2	USRE044186-20130430-C00149.CDX	Step	2
C1N(C([C@H](C1)CC)(C(=O)OCC)C(OCC)=O)C(=O)C	USRE044186-20130430-C00166.CDX	Step	2
[C@@H](NC(=O)OC(C)(C)C)(C(N1[C@@H]2[C@H](C[C@H]1C#N)C2)=O)C3(CCCC3)C=C	USRE044186-20130430-C00087.CDX	Step	2
[C@H](C(N1[C@H]2[C@@H](C[C@H]1C(=O)N)C2)=O)(NC(OC(C)(C)C)=O)CCO[Si](C)(C)C(C)(C)C	USRE044186-20130430-C00077.CDX	Step	2
C=1C=CC(=CC1)C2(CCCC2)[C@@H](C(N3[C@@H]4[C@H](C[C@H]3C#N)C4)=O)N	USRE044186-20130430-C00158.CDX	Step	2
C1(CCC1)(C(=C)F)[C@H](N)C(=O)N2[C@@H](C[C@H]3[C@@H]2C3)C#N	USRE044186-20130430-C00103.CDX	Step	2
C(OCC)(C(C(OCC)=O)C1(CCCCC1)C)=O	USRE044186-20130430-C00190.CDX	Step	2
N1([C@@H](C[C@H]2[C@@H]1C2)C#N)C(=O)[C@@H](N)C3(CCC3)C(=C)C	USRE044186-20130430-C00107.CDX	Step	2
C1N(C([C@H](C1)C(C)C)(C(=O)OCC)C(OCC)=O)C(=O)C	USRE044186-20130430-C00171.CDX	Step	2
C1[C@@]2(C[C@@H]3C[C@H]1CC(C2)(C3)[C@@H](C(N4[C@@H]5[C@H](C[C@H]4C#N)C5)=O)NC(=O)OC(C)(C)C)F	USRE044186-20130430-C00142.CDX	Step	2
C1=CC=CC(=C1)C([C@H](N)C(N2[C@@H](C[C@H]3[C@@H]2C3)C#N)=O)(C)C	USRE044186-20130430-C00160.CDX	Step	2
OC(C(C(CO[Si](C)(C)C(C)(C)C)(C)C)NC(=O)OC(C)(C)C)=O	USRE044186-20130430-C00121.CDX	Step	2
[C@@H]12[C@@H](N([C@@H](C1)C#N)C([C@H](CS(C(C)(C)C)(=O)=O)N)=O)C2	USRE044186-20130430-C00179.CDX	Step	2
C1CCC(C1)(CO)[C@H](N)C(=O)N2[C@@H]3[C@H](C[C@H]2C#N)C3	USRE044186-20130430-C00110.CDX	Step	2
[C@@H](C(N1[C@@H](C[C@H]2[C@@H]1C2)C#N)=O)(C(CO)(C)C)N	USRE044186-20130430-C00125.CDX	Step	3
C(C(O)=O)(NC(=O)OC(C)(C)C)C1CCCC1	USRE044186-20130430-C00199.CDX	Step	3
C1[C@H]2C[C@H]3C[C@@H]1CC(C2)(C3)C=O	USRE044186-20130430-C00130.CDX	Step	3
C1=CC(=CC=C1)C2(CCCC2)C(NC(=O)OC(C)(C)C)C(=O)O	USRE044186-20130430-C00156.CDX	Step	3
N1([C@@H](C[C@H]2[C@@H]1C2)C#N)C([C@H](C(C)(C)CO)N)=O	USRE044186-20130430-C00122.CDX	Step	3
[C@@H]12[C@@H](N([C@@H](C1)C#N)C([C@@H](N)C34CC[C@@H](CC3)C4)=O)C2.FC(C(=O)O)(F)F	USRE044186-20130430-C00150.CDX	Step	3
C1CCC(C1)(C=C)[C@H](N)C(=O)N2[C@@H]3[C@H](C[C@H]2C#N)C3	USRE044186-20130430-C00088.CDX	Step	3
[C@@H]12[C@@H](N([C@@H](C1)C#N)C([C@H](CS(C(C)(C)C)=O)N)=O)C2	USRE044186-20130430-C00177.CDX	Step	3
C1[C@@]2(C[C@@H]3C[C@H]1CC(C2)(C3)[C@H](NC(=O)OC(C)(C)C)C(N4[C@@H]5[C@H](C[C@H]4C(=O)N)C5)=O)O[Si](CC)(CC)CC	USRE044186-20130430-C00138.CDX	Step	3
C1NC([C@H](C1)C(C)C)C(O)=O.Cl	USRE044186-20130430-C00172.CDX	Step	3
C1[C@@]2(C[C@@H]3C[C@H]1CC(C2)(C3)[C@@H](C(N4[C@@H]5[C@H](C[C@H]4C#N)C5)=O)N)F.FC(C(=O)O)(F)F	USRE044186-20130430-C00143.CDX	Step	3
N1(C[C@@]2([C@](C1)(C2)[H])[H])C([C@@H](N)C(C)CC)=O.Cl	USRE044186-20130430-C00034.CDX	Step	3
C1N(C(C(C1)(C)C)C(=O)O)C(=O)OC(C)(C)C	USRE044186-20130430-C00163.CDX	Step	3
OC1=CC=C(C=C1)C[C@@H](C(N2[C@@H](C[C@H]3[C@@H]2C3)C#N)=O)NC(=O)OC(C)(C)C	USRE044186-20130430-C00073.CDX	Step	3
C1NC([C@H](C1)CC)C(O)=O.Cl	USRE044186-20130430-C00167.CDX	Step	3
OC(C(C(OCC)=O)C1(CCCCC1)C)=O	USRE044186-20130430-C00191.CDX	Step	3
[C@H](C(N1[C@H]2[C@@H](C[C@H]1C#N)C2)=O)(NC(OC(C)(C)C)=O)CCO[Si](C)(C)C(C)(C)C	USRE044186-20130430-C00078.CDX	Step	3
N1([C@@H](CC2C1C2)C(=O)OCC)C([C@@H](NC(=O)OC(C)(C)C)[C@@H](C)CC)=O	USRE044186-20130430-C00025.CDX	Step	3
C(C[C@H](C(N1C2C(C[C@H]1C#N)C2)=O)N)O	USRE044186-20130430-C00079.CDX	Step	4
C1N(C([C@H](C1)CC)C(O)=O)C(=O)OC(C)(C)C	USRE044186-20130430-C00168.CDX	Step	4
C1CC(CCC1)(C(NC(=O)OCC2=CC=CC=C2)C(OCC)=O)C	USRE044186-20130430-C00192.CDX	Step	4
C1N(C([C@H](C1)C(C)C)C(O)=O)C(=O)OC(C)(C)C	USRE044186-20130430-C00173.CDX	Step	4
C([C@H](NC(=O)OC(C)(C)C)C(N1[C@@H](C[C@H]2[C@@H]1C2)C(=O)N)=O)(C)(C)C	USRE044186-20130430-C00046.CDX	Step	4
C1[C@@H]2C[C@@H]3C[C@H]1CC(C2)(C3)[C@@H](C#N)N[C@H](C4=CC=CC=C4)CO	USRE044186-20130430-C00131.CDX	Step	4
C1[C@@]2(C[C@@H]3C[C@H]1CC(C2)(C3)[C@H](NC(=O)OC(C)(C)C)C(N4[C@@H]5[C@H](C[C@H]4C#N)C5)=O)O[Si](CC)(CC)CC	USRE044186-20130430-C00139.CDX	Step	4
N1([C@@H](CC2C1C2)C(=O)O)C([C@@H](NC(=O)OC(C)(C)C)[C@@H](C)CC)=O	USRE044186-20130430-C00026.CDX	Step	4
[C@H](C(N1[C@@H]2[C@H](C[C@H]1C#N)C2)=O)(N)C3CCCC3	USRE044186-20130430-C00200.CDX	Step	4
C1CN[C@@](C1(C)C)(C(N2[C@@H]3[C@H](C[C@H]2C#N)C3)=O)[H]	USRE044186-20130430-C00164.CDX	Step	4
[C@H]12[C@H](C[C@H](N1C([C@@H](N)CC3=CC=C(C=C3)O)=O)C#N)C2	USRE044186-20130430-C00074.CDX	Step	4
C1CC(CCC1)(C(NC(=O)OC(C)(C)C)C(OCC)=O)C	USRE044186-20130430-C00193.CDX	Step	5
N1([C@@H](CC2C1C2)C(=O)N)C([C@@H](NC(=O)OC(C)(C)C)[C@@H](C)CC)=O	USRE044186-20130430-C00027.CDX	Step	5
C1[C@@]2(C[C@@H]3C[C@H]1CC(C2)(C3)[C@H](N)C(N4[C@@H]5[C@H](C[C@H]4C#N)C5)=O)O.FC(C(=O)O)(F)F	USRE044186-20130430-C00140.CDX	Step	5
[C@]1([C@H](CCN1)C(C)C)([H])C(N2[C@@H]3[C@H](C[C@H]2C#N)C3)=O	USRE044186-20130430-C00174.CDX	Step	5
[C@@]1([C@H](CCN1)CC)(C(N2C3C(C[C@H]2C#N)C3)=O)[H]	USRE044186-20130430-C00169.CDX	Step	5
C([C@H](NC(=O)OC(C)(C)C)C(N1[C@@H](C[C@H]2[C@@H]1C2)C#N)=O)(C)(C)C	USRE044186-20130430-C00047.CDX	Step	5
C1[C@@H]2C[C@@H]3C[C@H]1CC(C2)(C3)[C@@H](C(=O)O)N[C@H](C4=CC=CC=C4)CO.Cl	USRE044186-20130430-C00132.CDX	Step	5
C1[C@@H]2C[C@@H]3C[C@H]1CC(C2)(C3)[C@@H](C(=O)O)N.Cl	USRE044186-20130430-C00133.CDX	Step	6
N1([C@@H](CC2C1C2)C#N)C([C@@H](NC(=O)OC(C)(C)C)[C@@H](C)CC)=O	USRE044186-20130430-C00028.CDX	Step	6
C1CC(CCC1)(C(NC(=O)OC(C)(C)C)C(O)=O)C	USRE044186-20130430-C00194.CDX	Step	6
C1[C@@H]2C[C@@H]3C[C@H]1CC(C2)(C3)[C@@H](C(=O)O)NC(=O)OC(C)(C)C	USRE044186-20130430-C00134.CDX	Step	7
C1CC(CCC1)([C@@H](C(=O)N2[C@@H]3[C@H](C[C@H]2C#N)C3)N)C	USRE044186-20130430-C00195.CDX	Step	7
